Time (s),Current (A),Voltage(V)
0.4260239601,-2.9995965958,3.7922110558
1.4260816574,-2.9996101856,3.7520811558
2.426138401,-2.9995925426,3.7331953049
3.4261960983,-2.9996168613,3.7193696499
4.4262528419,-2.99964571,3.708073616
5.4263105392,-2.9996418953,3.6983127594
6.4263672829,-2.9996840954,3.6896162033
7.4264249802,-2.9996922016,3.6816670895
8.4264817238,-2.9996910095,3.674352169
9.4255385399,-2.9996893406,3.6675105095
10.4255957603,-2.9996581078,3.6610655785
11.4256529808,-2.9996919632,3.654955864
12.4257102013,-2.9996862411,3.6491620541
13.4257674217,-2.9996807575,3.6436123848
14.4258246422,-2.9996802807,3.6382782459
15.4258818626,-2.9996919632,3.63317132
16.4259390831,-2.9997084141,3.6282336712
17.4259963036,-2.9997103214,3.6234536171
18.426053524,-2.9996926785,3.6188178062
19.4261107445,-2.9997057915,3.6143167019
20.4261679649,-2.9996876717,3.6099834442
21.4262251854,-2.9997098446,3.6056950092
22.4262824059,-2.9997138977,3.6015706062
23.4263396263,-2.9996919632,3.5975208282
24.4263968468,-2.9996800423,3.5935509205
25.4264540672,-2.999724865,3.5896608829
26.4255113602,-2.9996995926,3.5858955383
27.4255685806,-2.9997031689,3.5821750164
28.4256258011,-2.9996995926,3.5784955025
29.4256825447,-2.999702692,3.5749144554
30.4257397652,-2.9997141361,3.5713963509
31.4257969856,-2.9997184277,3.5679416656
32.4258542061,-2.9996986389,3.5645411015
33.4259114265,-2.9997208118,3.5611915588
34.425968647,-2.9997017384,3.5579173565
35.4260258675,-2.9997158051,3.5546591282
36.4260830879,-2.9997179508,3.5514638424
37.4261403084,-2.9997117519,3.5483307838
38.4261975288,-2.9997062683,3.5452239513
39.4262547493,-2.9996964931,3.5421667099
40.4263119698,-2.9996986389,3.5391697884
41.4263691902,-2.9996979237,3.5362131596
42.4264264107,-2.9996883869,3.5332877636
43.4264836311,-2.9997060299,3.5304033756
44.4255409241,-2.9996981621,3.5275928974
45.4255981445,-2.9996936321,3.5247590542
46.425655365,-2.999702692,3.5220222473
47.4257125854,-2.9997045994,3.519302845
48.4257698059,-2.9997236729,3.5166213512
49.4258265495,-2.9996936321,3.5139684677
50.42588377,-2.9997158051,3.5113422871
51.4259409904,-2.9997167587,3.5087528229
52.4259982109,-2.9997041225,3.5062198639
53.4260554314,-2.9996910095,3.5036973953
54.4261126518,-2.9997186661,3.5012049675
55.4261698723,-2.9997069836,3.4987397194
56.4262270927,-2.9997055531,3.4963140488
57.4262843132,-2.9996926785,3.4939246178
58.4263415337,-2.9996886253,3.4915323257
59.4263987541,-2.9996814728,3.4892129898
60.4264559746,-2.9996931553,3.486877203
61.4255132675,-2.999707222,3.4845819473
62.425570488,-2.9997122288,3.4823122025
63.4256277084,-2.9996995926,3.4800803661
64.4256849289,-2.9996910095,3.4778711796
65.4257421494,-2.9997069836,3.4756753445
66.4257993698,-2.9997222424,3.4734919071
67.4258565903,-2.9997153282,3.4713563919
68.4259138107,-2.9997019768,3.4692237377
69.4259705544,-2.9997115135,3.4671223164
70.4260277748,-2.9997210503,3.4650576115
71.4260849953,-2.999710083,3.4629940987
72.4261422157,-2.9997115135,3.4609570503
73.4261994362,-2.9997196198,3.4589502811
74.4262566566,-2.9997103214,3.4569716454
75.4263138771,-2.9997117519,3.4549822807
76.4263710976,-2.9997222424,3.4530274868
77.426428318,-2.9997141361,3.4510984421
